Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category
153034271,2025-10-15 13:54:00,"Union Grove, Wandsworth Road",200211,2025-10-15 13:55:00,"Union Grove, Wandsworth Road",200211,41788,CLASSIC,39s,39488,0.6581333333333333,Invalid(<1 mins)
153033996,2025-10-15 13:41:00,"Shoreditch Park, Hoxton",1051,2025-10-15 13:41:00,"Shoreditch Park, Hoxton",1051,62433,PBSC_EBIKE,7s,7997,0.13328333333333334,Invalid(<1 mins)
153033839,2025-10-15 13:35:00,"Gas Holders, Battersea Park",300216,2025-10-15 13:35:00,"Gas Holders, Battersea Park",300216,41848,CLASSIC,9s,9455,0.15758333333333333,Invalid(<1 mins)
153033747,2025-10-15 13:30:00,"Flood Street, Chelsea",1218,2025-10-15 13:31:00,"Flood Street, Chelsea",1218,54028,CLASSIC,31s,31058,0.5176333333333333,Invalid(<1 mins)
153033729,2025-10-15 13:29:00,"Great Tower Street, Monument",1080,2025-10-15 13:29:00,"Great Tower Street, Monument",1080,62962,PBSC_EBIKE,8s,8183,0.13638333333333333,Invalid(<1 mins)
153033669,2025-10-15 13:26:00,"Leman Street, Aldgate",1102,2025-10-15 13:27:00,"Leman Street, Aldgate",1102,52825,CLASSIC,42s,42520,0.7086666666666667,Invalid(<1 mins)
153033622,2025-10-15 13:24:00,"De Vere Gardens, Kensington",3446,2025-10-15 13:25:00,"De Vere Gardens, Kensington",3446,54452,CLASSIC,39s,39771,0.66285,Invalid(<1 mins)
153033519,2025-10-15 13:20:00,"Exhibition Road, Knightsbridge",22179,2025-10-15 13:20:00,"Exhibition Road, Knightsbridge",22179,50631,CLASSIC,15s,15231,0.25385,Invalid(<1 mins)
153033471,2025-10-15 13:17:00,"Notting Hill Gate Station, Notting Hill",1182,2025-10-15 13:17:00,"Notting Hill Gate Station, Notting Hill",1182,55066,CLASSIC,9s,9339,0.15565,Invalid(<1 mins)
153033380,2025-10-15 13:13:00,"Queen Street 1, Bank",999,2025-10-15 13:13:00,"Queen Street 1, Bank",999,62839,PBSC_EBIKE,15s,15825,0.26375,Invalid(<1 mins)
153033374,2025-10-15 13:12:00,"Craven Street, Strand",1160,2025-10-15 13:13:00,"Craven Street, Strand",1160,50851,CLASSIC,9s,9219,0.15365,Invalid(<1 mins)
153033379,2025-10-15 13:13:00,"Shadwell Station, Shadwell",200020,2025-10-15 13:13:00,"Shadwell Station, Shadwell",200020,63477,PBSC_EBIKE,14s,14283,0.23805,Invalid(<1 mins)
153033234,2025-10-15 13:06:00,"Battersea Park Road, Nine Elms",200183,2025-10-15 13:06:00,"Battersea Park Road, Nine Elms",200183,52811,CLASSIC,11s,11740,0.19566666666666666,Invalid(<1 mins)
153033153,2025-10-15 13:01:00,"Christian Street, Whitechapel",22177,2025-10-15 13:02:00,"Christian Street, Whitechapel",22177,55712,CLASSIC,50s,50862,0.8477,Invalid(<1 mins)
153033070,2025-10-15 12:58:00,"Albert Gate, Hyde Park",1132,2025-10-15 12:58:00,"Albert Gate, Hyde Park",1132,57212,CLASSIC,11s,11671,0.19451666666666667,Invalid(<1 mins)
153033006,2025-10-15 12:55:00,"Pall Mall East, West End",1153,2025-10-15 12:55:00,"Pall Mall East, West End",1153,62728,PBSC_EBIKE,4s,4847,0.08078333333333333,Invalid(<1 mins)
153032922,2025-10-15 12:51:00,"Ansell House, Stepney",200148,2025-10-15 12:51:00,"Ansell House, Stepney",200148,52961,CLASSIC,8s,8414,0.14023333333333332,Invalid(<1 mins)
153032893,2025-10-15 12:49:00,"Central House, Aldgate",3430,2025-10-15 12:50:00,"Central House, Aldgate",3430,56465,CLASSIC,15s,15425,0.25708333333333333,Invalid(<1 mins)
153032870,2025-10-15 12:49:00,"Central House, Aldgate",3430,2025-10-15 12:49:00,"Central House, Aldgate",3430,53248,CLASSIC,38s,38662,0.6443666666666666,Invalid(<1 mins)
