Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category
152921925,2025-10-11 15:43:00,"Lambeth North Station, Waterloo",1117,2025-10-16 08:28:00,"Burgess Park Albany Road, Walworth",300063,50407,CLASSIC,4d 16h 44m 44s,405884411,6764.740183333333,Anamoly (>300 mins)
152921936,2025-10-11 15:43:00,"South Quay East, Canary Wharf",200233,2025-10-21 17:36:00,"Normandy Road, Stockwell",300225,55177,CLASSIC,10d 1h 52m 47s,870767111,14512.785183333333,Anamoly (>300 mins)
152921740,2025-10-11 15:39:00,"Goldsmith's Row, Haggerston",200159,2025-10-12 20:13:00,"Haggerston Road, Haggerston",300081,24125,CLASSIC,1d 4h 34m 30s,102870270,1714.5045,Anamoly (>300 mins)
152920871,2025-10-11 15:16:00,"Tavistock Street, Covent Garden",1207,2025-10-12 17:45:00,Mechanical Workshop Penton,10626,63250,PBSC_EBIKE,1d 2h 29m 13s,95353568,1589.2261333333333,Anamoly (>300 mins)
152920255,2025-10-11 15:01:00,"Albert Bridge Road, Battersea Park",300045,2025-10-12 17:52:00,Mechanical Workshop Penton,10626,62028,PBSC_EBIKE,1d 2h 50m 21s,96621951,1610.36585,Anamoly (>300 mins)
152920100,2025-10-11 14:57:00,"Ampton Street , Clerkenwell",1019,2025-10-13 09:37:00,"Argyle Street, Kings Cross",1011,30379,CLASSIC,1d 18h 40m 25s,153625863,2560.43105,Anamoly (>300 mins)
152918931,2025-10-11 14:27:00,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",300029,2025-10-13 16:58:00,"Risinghill Street, Angel",1127,35271,CLASSIC,2d 2h 31m 5s,181865833,3031.0972166666666,Anamoly (>300 mins)
152918904,2025-10-11 14:26:00,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",300029,2025-10-13 16:59:00,"Risinghill Street, Angel",1127,51479,CLASSIC,2d 2h 32m 29s,181949455,3032.4909166666666,Anamoly (>300 mins)
152916766,2025-10-11 13:28:00,"Albert Street, Camden Town",200118,2025-10-11 18:34:00,"Arlington Road, Camden Town",200070,64090,PBSC_EBIKE,5h 6m 33s,18393545,306.5590833333333,Anamoly (>300 mins)
152915979,2025-10-11 13:05:00,"Cheshire Street, Bethnal Green",200003,2025-10-11 19:28:00,"Cheshire Street, Bethnal Green",200003,56115,CLASSIC,6h 23m 4s,22984307,383.0717833333333,Anamoly (>300 mins)
152915711,2025-10-11 12:57:00,"Hop Exchange, The Borough",960,2025-10-23 08:47:00,"Grosvenor Square, Mayfair",10627,30961,CLASSIC,11d 19h 50m 15s,1021815153,17030.25255,Anamoly (>300 mins)
152915671,2025-10-11 12:56:00,"Hop Exchange, The Borough",960,2025-10-12 01:50:00,"Nutford Place, Marylebone",1112,54620,CLASSIC,12h 54m 18s,46458397,774.3066166666666,Anamoly (>300 mins)
152915663,2025-10-11 12:55:00,"Hop Exchange, The Borough",960,2025-10-12 22:32:00,"Bayswater Road, Hyde Park",1096,52176,CLASSIC,1d 9h 37m 9s,121029962,2017.1660333333334,Anamoly (>300 mins)
152915669,2025-10-11 12:56:00,"Hop Exchange, The Borough",960,2025-10-17 10:23:00,"Porchester Place, Paddington",3477,41357,CLASSIC,5d 21h 27m 54s,509274501,8487.90835,Anamoly (>300 mins)
152915212,2025-10-11 12:43:00,"Waterloo Station 1, Waterloo",2696,2025-10-11 18:18:00,"Waterloo Station 2, Waterloo",2692,60473,PBSC_EBIKE,5h 35m 31s,20131450,335.52416666666664,Anamoly (>300 mins)
152914520,2025-10-11 12:23:00,"Kennington Road Post Office, Oval",1073,2025-10-11 18:06:00,"Ferndale Road, Brixton",200240,62863,PBSC_EBIKE,5h 43m 48s,20628277,343.8046166666667,Anamoly (>300 mins)
152913222,2025-10-11 11:43:00,"London Fields, Hackney Central",200025,2025-10-11 16:52:00,"London Fields, Hackney Central",200025,57881,CLASSIC,5h 8m 37s,18517869,308.63115,Anamoly (>300 mins)
152912657,2025-10-11 11:26:00,"Gloucester Terrace, Bayswater",1173,2025-10-11 18:59:00,"Bishop's Bridge Road West, Bayswater",200110,54526,CLASSIC,7h 33m 33s,27213179,453.5529833333333,Anamoly (>300 mins)
152912008,2025-10-11 11:03:00,"Storey's Gate, Westminster",200202,2025-10-11 22:35:00,"Vincent Square, Westminster",1196,56150,CLASSIC,11h 32m 36s,41556495,692.60825,Anamoly (>300 mins)
152912034,2025-10-11 11:03:00,"Storey's Gate, Westminster",200202,2025-10-12 07:40:00,"Westminster Pier, Westminster",300249,52567,CLASSIC,20h 37m 1s,74221580,1237.0263333333332,Anamoly (>300 mins)
152911341,2025-10-11 10:40:00,"Prince Albert Road, The Regent's Park",2636,2025-10-11 18:57:00,"Buckingham Gate, Westminster",200178,22172,CLASSIC,8h 17m 19s,29839792,497.32986666666665,Anamoly (>300 mins)
152911342,2025-10-11 10:40:00,"Nesham Street, Wapping",1031,2025-10-11 16:07:00,"Nesham Street, Wapping",1031,58730,CLASSIC,5h 26m 59s,19619423,326.99038333333334,Anamoly (>300 mins)
152909711,2025-10-11 09:33:00,"Great Percy Street, Clerkenwell",3470,2025-10-11 18:29:00,"Great Percy Street, Clerkenwell",3470,90897,CLASSIC,8h 56m 17s,32177362,536.2893666666666,Anamoly (>300 mins)
152909717,2025-10-11 09:33:00,"Great Percy Street, Clerkenwell",3470,2025-10-11 18:29:00,"Great Percy Street, Clerkenwell",3470,40663,CLASSIC,8h 55m 37s,32137070,535.6178333333334,Anamoly (>300 mins)
