Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category,start_hour,end_hour,start_day,start_month,is_weekend,day_type
153051148,2025-10-15 22:47:00,"Shoreditch High Street, Shoreditch",3445,2025-10-15 22:52:00,"Bell Lane, Liverpool Street",200036,59248,CLASSIC,4m 57s,297017,4.950283333333333,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051149,2025-10-15 22:47:00,"Grant Road East, Clapham Junction",200120,2025-10-15 22:50:00,"Hibbert Street, Battersea",300051,60309,PBSC_EBIKE,3m 8s,188773,3.1462166666666667,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051150,2025-10-15 22:47:00,"Sea Containers, South Bank",200144,2025-10-15 22:50:00,"Concert Hall Approach, South Bank",1212,51770,CLASSIC,2m 42s,162978,2.7163,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051151,2025-10-15 22:47:00,"Berry Street, Clerkenwell",1159,2025-10-15 22:51:00,"Museum of London, Barbican",1043,52723,CLASSIC,4m 0s,240170,4.002833333333333,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051152,2025-10-15 22:47:00,"St. George's Square, Pimlico",1195,2025-10-15 22:51:00,"Ebury Bridge, Pimlico",22159,59027,CLASSIC,3m 45s,225520,3.7586666666666666,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051153,2025-10-15 22:47:00,"Devonshire Terrace, Bayswater",1227,2025-10-15 22:56:00,"Longford Street, The Regent's Park",976,61196,PBSC_EBIKE,8m 42s,522899,8.714983333333333,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051154,2025-10-15 22:48:00,"Risinghill Street, Angel",1127,2025-10-15 23:08:00,"Baylis Road, Waterloo",1133,52633,CLASSIC,20m 39s,1239223,20.653716666666668,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051135,2025-10-15 22:46:00,"Store Street, Bloomsbury",3507,2025-10-15 22:49:00,"Warren Street Station, Euston",1090,59396,CLASSIC,3m 4s,184968,3.0828,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051136,2025-10-15 22:46:00,"Smith Square, Westminster",3480,2025-10-15 22:55:00,"Temple Gardens, Temple",300250,52958,CLASSIC,9m 17s,557131,9.285516666666666,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051137,2025-10-15 22:46:00,"Stepney Green Station, Stepney",200012,2025-10-15 22:55:00,"London Fields, Hackney Central",200025,63116,PBSC_EBIKE,8m 54s,534661,8.911016666666667,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051138,2025-10-15 22:46:00,"Westfield Library Corner, Shepherd's Bush",200227,2025-10-15 23:04:00,"Greyhound Road, Hammersmith",200215,52842,CLASSIC,17m 18s,1038489,17.30815,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051139,2025-10-15 22:46:00,"Ansell House, Stepney",200148,2025-10-15 22:51:00,"Selby Street, Whitechapel",200135,58901,CLASSIC,4m 33s,273868,4.564466666666666,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051140,2025-10-15 22:46:00,"Westfield Library Corner, Shepherd's Bush",200227,2025-10-15 23:04:00,"Greyhound Road, Hammersmith",200215,51302,CLASSIC,17m 10s,1030692,17.1782,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051141,2025-10-15 22:46:00,"Doric Way , Somers Town",1004,2025-10-15 23:20:00,"Clapham Common Station, Clapham Common",2694,59788,CLASSIC,33m 43s,2023460,33.724333333333334,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051142,2025-10-15 22:46:00,"Westfield Library Corner, Shepherd's Bush",200227,2025-10-15 23:04:00,"Greyhound Road, Hammersmith",200215,51694,CLASSIC,17m 2s,1022372,17.039533333333335,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051143,2025-10-15 22:47:00,"East India DLR, Blackwall",200127,2025-10-15 23:06:00,"Pennington Street, Wapping",200090,62992,PBSC_EBIKE,19m 8s,1148578,19.142966666666666,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051120,2025-10-15 22:45:00,"Southwick Street, Paddington",3490,2025-10-16 00:16:00,"Southwick Street, Paddington",3490,24202,CLASSIC,1h 31m 5s,5465635,91.09391666666667,Long(41-120 mins),22,0,Wednesday,October,False,Weekday
